lat,lon,pop,geoid,name,state
31.547845,-81.912376,30144,13305,Wayne County,GA
32.046691,-84.553828,2348,13307,Webster County,GA
32.105258,-82.733849,7471,13309,Wheeler County,GA
34.644182,-83.743,28003,13311,White County,GA
34.801726,-84.968541,102864,13313,Whitfield County,GA
31.96272,-83.438259,8766,13315,Wilcox County,GA
33.779031,-82.747921,9565,13317,Wilkes County,GA
32.804266,-83.175512,8877,13319,Wilkinson County,GA
31.551773,-83.84996,20784,13321,Worth County,GA
43.451477,-116.244376,494967,16001,Ada County,ID
44.877004,-116.461624,4379,16003,Adams County,ID
42.692921,-112.228982,87018,16005,Bannock County,ID
42.285892,-111.327517,6372,16007,Bear Lake County,ID
47.218451,-116.633541,9530,16009,Benewah County,ID
43.216357,-112.399206,47992,16011,Bingham County,ID
43.394192,-113.955371,24272,16013,Blaine County,ID
43.987275,-115.71511,7610,16015,Boise County,ID
48.316796,-116.612362,47110,16017,Bonner County,ID
43.395171,-111.621878,123964,16019,Bonneville County,ID
48.773131,-116.524668,12056,16021,Boundary County,ID
43.685101,-113.177631,2574,16023,Butte County,ID
43.502552,-114.772135,1077,16025,Camas County,ID
43.625796,-116.709058,231105,16027,Canyon County,ID
